method, log time, mIoU last, mAcc last, last eval, mIoU best, mAcc best, best eval
deeplabv3_unet_s5-d16-c128_512x1024_160k_cityscapes, 20210919_005344.log.json, 73.22, 80.58, 10, 73.22, 80.58, 10
deeplabv3_unet_s5-d16-c128_832x832_160k_cityscapes, 20210919_005344.log.json, 71.71, 78.89, 10, 71.71, 78.89, 10
deeplabv3_unet_s5-d16-c256_512x1024_160k_cityscapes, 20210919_004609.log.json, 48.3, 58.720000000000006, 3, 49.86, 57.089999999999996, 2
deeplabv3_unet_s5-d16-c256_832x832_160k_cityscapes, 20210919_005344.log.json, 0, 0, 0, 0, 0, 0
deeplabv3_unet_s5-d16_512x1024_160k_cityscapes, 20210916_011553.log.json, 72.7, 80.30000000000001, 10, 72.7, 80.30000000000001, 10
deeplabv3_unet_s5-d16_512x1024_320k_cityscapes, 20210918_225104.log.json, 67.38, 77.16, 6, 67.38, 77.16, 6
deeplabv3_unet_s5-d16_512x1024_320k_cityscapes, 20210924_145420.log.json, 0, 0, 0, 0, 0, 0
deeplabv3_unet_s5-d16_512x1024_320k_cityscapes, 20210924_152244.log.json, 0, 0, 0, 0, 0, 0
deeplabv3_unet_s5-d16_512x1024_320k_cityscapes, 20210924_160338.log.json, 0, 0, 0, 0, 0, 0
deeplabv3_unet_s5-d16_512x1024_320k_cityscapes, 20210924_201925.log.json, 0, 0, 0, 0, 0, 0
deeplabv3_unet_s5-d16_512x1024_320k_cityscapes, 20210924_204330.log.json, 0, 0, 0, 0, 0, 0
deeplabv3_unet_s5-d16_512x1024_320k_cityscapes, 20210924_222636.log.json, 0, 0, 0, 0, 0, 0
deeplabv3_unet_s5-d16_512x1024_320k_cityscapes, 20210927_165355.log.json, 0, 0, 0, 0, 0, 0
deeplabv3_unet_s5-d16_512x1024_320k_cityscapes, 20210927_215204.log.json, 0, 0, 0, 0, 0, 0
deeplabv3_unet_s5-d16_512x512_160k_cityscapes, 20210916_011553.log.json, 70.34, 78.31, 10, 70.34, 78.31, 10
deeplabv3_unet_s5-d16_768x768_160k_cityscapes, 20210916_010806.log.json, 0, 0, 0, 0, 0, 0
deeplabv3_unet_s5-d16_768x768_160k_cityscapes, 20210916_011553.log.json, 71.15, 78.93, 10, 71.15, 78.93, 10
deeplabv3_unet_s5-d16_832x832_160k_cityscapes, 20210916_010806.log.json, 0, 0, 0, 0, 0, 0
